"id","name","position","salary","image","parentId"
0,"Corporación 2023-2027","",1490583,"assets/organigrama/corporacion.png",
10,"Gobierno Local","",719516,"assets/organigrama/gobierno.png",0
20,"Grupos municipales","",239346,"assets/organigrama/grupoMunicipal.png",0
30,"Secretarios Grupos Municipales","",131020,"assets/organigrama/secretario.png",0
40,"Asesores","",400701,"assets/organigrama/asesor.png",0
1000,"PP","Grupo municipal",0,"assets/organigrama/logoPP.jpg",20
2000,"PSOE","Grupo municipal",79782,"assets/organigrama/logoPSOE.jpg",20
3000,"La Confluencia","Grupo municipal",79782,"assets/organigrama/logoLaConfluencia.jpg",20
4000,"Vox","Grupo municipal",79782,"assets/organigrama/logoVOX.jpg",20
1100,"PP","Secretario grupo",32755,"assets/organigrama/logoPP.jpg",30
2100,"PSOE","Secretario grupo",32755,"assets/organigrama/logoPSOE.jpg",30
3100,"La Confluencia","Secretario grupo",32755,"assets/organigrama/logoLaConfluencia.jpg",30
4100,"Vox","Secretario grupo",32755,"assets/organigrama/logoVOX.jpg",30
1,"Mª Jose Garcia Pelayo","Alcaldesa",74135,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/MJoseGarciaPelayo.jpg",10
101,"Agustín Muñoz Martín","Área gobierno de presidencia, centro histórico, fondos europeos, coordinación de gobierno y ordenación del territorio",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AgustinMunoz.jpg",1
102,"Jaime Espinar Villar","Área de gobierno de coordinación de servicios públicos, desarrollo sostenible, medio ambiente, protección animal, educación y deportes",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JaimaEspinar.jpg",1
103,"Susana Sánchez Toro","Área de gobierno de inclusión social, familias, igualdad y diversidad, medio rural, participación ciudadana y juventud",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/SusanaSanchez.jpg",1
104,"Antonio Real Granado","Área de Gobierno de turismo y cultura",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AntonioReal.jpg",1
105,"Jose Ignacio Martinez Moreno","Área de gobierno de empleo, economía, patrimonio, seguridad, recursos humanos y simplificación administrativa y transparencia",46294,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JIgancioMartinez.jpg",1
201,"Agustín Muñoz Martín","Delegación de presidencia, centro histórico, fondos europeos y coordinación de gobierno",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AgustinMunoz.jpg",101
202,"Belén de la Cuadra Guerrero","Delegación de urbanismo, ordenación del territorio y vivienda",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/BelenDeLaCuadra.jpg",101
203,"Jaime Espinar Villar","Delegación de servicios públicos, medio ambiente y protección animal",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JaimaEspinar.jpg",102
204,"José Angel Aparicio Hormigo","Delegación de desarrollo educativo, formación profesional, universidades y deportes",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JAngelAparicio.jpg",102
205,"Susana Sánchez Toro","Delegación medio rural, igualdad y diversidad",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/SusanaSanchez.jpg",103
206,"Carmen Pina Lorente","Delegación participación ciudadana y juventud",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/CarmenPina.jpg",103
207,"Yesika Quintero Palma","Delegación de inclusión social, dependencia, mayores y familia",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/YessicaQuintero.jpg",103
208,"Antonio Real Granado","Delegación turismo y promoción de la ciudad",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AntonioReal.jpg",104
209,"Francisco Zurita Martín","Delegación de cultura, fiestas, patrimonio histórico y capitalidad cultural",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoZurita.jpg",104
210,"Jose Ignacio Martinez Moreno","Delegación de seguridad, recursos humanos, transformación digital, simplificación administrativa y transparencia",46294,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JIgancioMartinez.jpg",105
211,"Francisco Delgado Aguilera","Delegación economía  hacienda y patrimonio",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoDelgado.jpg",105
212,"Nela García Jarillo","Delegación de empleo, trabajo autónomo, comercio y empresa",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/NelaGarcia.jpg",105
114,"Mª Jose Garcia Pelayo","Alcaldesa",74135,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/MJoseGarciaPelayo.jpg",1000
10114,"Agustín Muñoz Martín","Area de Gobierno de Presidencia",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AgustinMunoz.jpg",1000
10214,"Jaime Espinar Villar","Area de Gobierno de servicios públicos",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JaimaEspinar.jpg",1000
10314,"Susana Sánchez Toro","Area de Gobierno de Inclusión social",57867,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/SusanaSanchez.jpg",1000
